epoch,train_loss,train_acc,val_loss,val_acc
1,2.0625,0.5828,0.9830,0.8377
2,1.5468,0.7022,0.9342,0.8500
3,1.3998,0.7418,0.8897,0.8623
4,1.3032,0.7599,0.8956,0.8618
5,1.2073,0.7890,0.8658,0.8684
6,1.1670,0.8011,0.8765,0.8685
7,1.1059,0.8144,0.8705,0.8722
8,1.0906,0.8155,0.8700,0.8759
9,1.0779,0.8187,0.8675,0.8776
10,1.0322,0.8317,0.8898,0.8741
11,0.9894,0.8395,0.8886,0.8764
12,0.9915,0.8460,0.9016,0.8739
13,0.9638,0.8422,0.8842,0.8819
14,0.9330,0.8553,0.8811,0.8836
15,0.9331,0.8522,0.8901,0.8835
16,0.9054,0.8673,0.8885,0.8860
17,0.8753,0.8691,0.8910,0.8848
18,0.8851,0.8619,0.8605,0.8935
19,0.8804,0.8583,0.8845,0.8888
20,0.8466,0.8715,0.8835,0.8911
21,0.8372,0.8725,0.8574,0.8971
22,0.8454,0.8702,0.8576,0.8987
23,0.8298,0.8852,0.8595,0.8987
24,0.8182,0.8787,0.8470,0.9006
25,0.8193,0.8833,0.8445,0.9025
26,0.8110,0.8872,0.8448,0.9024
27,0.8257,0.8754,0.8437,0.9027
28,0.8017,0.8944,0.8378,0.9043
29,0.8247,0.8787,0.8365,0.9043
30,0.8233,0.8719,0.8372,0.9042
