epoch,train_loss,train_acc,val_loss,val_acc
1,3.6023,0.2617,2.1709,0.5447
2,2.4529,0.4869,1.6320,0.6686
3,2.1696,0.5513,1.4399,0.7132
4,1.9926,0.5945,1.3155,0.7486
5,1.9008,0.6130,1.2989,0.7517
6,1.8222,0.6421,1.2072,0.7735
7,1.7796,0.6491,1.1528,0.7903
8,1.6874,0.6671,1.1587,0.7918
9,1.6616,0.6743,1.1206,0.7968
10,1.6479,0.6803,1.0979,0.8051
11,1.5780,0.6941,1.0984,0.8074
12,1.5753,0.6985,1.0795,0.8126
13,1.5143,0.7150,1.0647,0.8124
14,1.4802,0.7246,1.0588,0.8179
15,1.4841,0.7239,1.0471,0.8173
16,1.4629,0.7227,1.0423,0.8196
17,1.4608,0.7260,1.0336,0.8234
18,1.4158,0.7421,1.0292,0.8240
19,1.4055,0.7475,1.0248,0.8240
20,1.4696,0.7251,1.0388,0.8246
21,1.4114,0.7463,1.0099,0.8285
22,1.3945,0.7489,1.0275,0.8266
23,1.3825,0.7485,1.0229,0.8279
24,1.3821,0.7536,1.0192,0.8272
25,1.3899,0.7452,1.0211,0.8269
26,1.3785,0.7523,1.0301,0.8279
27,1.3879,0.7496,1.0301,0.8278
28,1.3645,0.7625,1.0150,0.8286
29,1.4280,0.7361,1.0075,0.8307
30,1.3589,0.7470,1.0195,0.8275
