epoch,train_loss,train_acc,val_loss,val_acc
1,2.1538,0.5637,1.0962,0.8042
2,1.6742,0.6793,0.9950,0.8297
3,1.5430,0.7029,0.9772,0.8362
4,1.4461,0.7236,0.9431,0.8488
5,1.3669,0.7467,0.9394,0.8520
6,1.2938,0.7647,0.9545,0.8469
7,1.2435,0.7846,0.9309,0.8542
8,1.1709,0.8002,0.9309,0.8596
9,1.1279,0.8095,0.9325,0.8596
10,1.1029,0.8194,0.9188,0.8642
11,1.0742,0.8197,0.9558,0.8606
12,1.0337,0.8391,0.9157,0.8682
13,1.0059,0.8366,0.9287,0.8672
14,0.9811,0.8408,0.9388,0.8706
15,0.9581,0.8560,0.9333,0.8730
16,0.9112,0.8608,0.9436,0.8711
17,0.8915,0.8604,0.9249,0.8768
18,0.8742,0.8776,0.9282,0.8799
19,0.8644,0.8770,0.9119,0.8826
20,0.8410,0.8799,0.9060,0.8859
21,0.8274,0.8895,0.8784,0.8908
22,0.8242,0.8857,0.8832,0.8907
23,0.8219,0.8863,0.8742,0.8931
24,0.8054,0.8864,0.8548,0.8970
25,0.8147,0.8916,0.8536,0.8972
26,0.7934,0.8814,0.8537,0.8982
27,0.8012,0.8862,0.8478,0.8981
28,0.8110,0.8850,0.8477,0.8995
29,0.7672,0.8995,0.8468,0.8991
30,0.8094,0.8873,0.8456,0.8992
