epoch,train_loss,train_acc,val_loss,val_acc
1,4.3929,0.0485,3.9379,0.1144
2,4.1565,0.0878,3.7776,0.1441
3,4.0063,0.1154,3.5466,0.1955
4,3.8950,0.1385,3.4174,0.2149
5,3.7690,0.1643,3.2317,0.2595
6,3.6741,0.1855,3.1065,0.2888
7,3.5998,0.1990,3.0753,0.3017
8,3.5014,0.2206,2.9288,0.3292
9,3.3976,0.2468,2.7851,0.3694
10,3.3320,0.2597,2.7517,0.3756
11,3.2604,0.2794,2.6377,0.4015
12,3.1698,0.2996,2.5364,0.4233
13,3.0921,0.3203,2.5147,0.4280
14,3.0394,0.3317,2.4356,0.4511
15,2.9897,0.3438,2.3186,0.4731
16,2.8955,0.3673,2.3014,0.4832
17,2.8420,0.3791,2.2759,0.4901
18,2.7637,0.4003,2.2333,0.5000
19,2.7380,0.4081,2.1728,0.5165
20,2.7041,0.4181,2.1001,0.5291
21,2.6579,0.4307,2.1177,0.5293
22,2.5819,0.4507,2.0953,0.5341
23,2.5789,0.4530,2.0127,0.5550
24,2.5157,0.4700,2.0393,0.5502
25,2.4194,0.4924,2.0261,0.5547
26,2.3829,0.5039,1.9812,0.5659
27,2.2740,0.5317,1.9783,0.5691
28,2.2663,0.5397,1.9875,0.5683
29,2.2390,0.5495,1.9675,0.5731
30,2.2191,0.5527,2.0023,0.5691
31,2.0850,0.5897,2.0042,0.5668
32,2.0458,0.6014,1.9693,0.5788
33,2.0575,0.6011,1.9833,0.5790
34,2.0312,0.6174,1.9550,0.5852
35,1.9403,0.6328,1.9961,0.5759
36,1.9752,0.6267,2.0163,0.5765
37,1.9277,0.6395,1.9789,0.5862
38,1.8503,0.6652,2.0235,0.5786
39,1.8571,0.6744,2.0146,0.5832
40,1.8329,0.6794,2.0187,0.5821
41,1.8166,0.6772,2.0311,0.5788
42,1.7767,0.6929,2.0133,0.5811
43,1.6971,0.7141,2.0109,0.5882
44,1.7010,0.7108,2.0589,0.5803
45,1.7441,0.7002,2.0091,0.5890
46,1.6631,0.7300,1.9972,0.5886
47,1.6823,0.7183,2.0118,0.5897
48,1.5527,0.7513,2.0437,0.5835
49,1.6400,0.7363,2.0479,0.5846
50,1.6469,0.7302,2.0323,0.5880
51,1.5694,0.7538,1.9791,0.5990
52,1.6094,0.7385,2.0346,0.5888
53,1.6122,0.7437,1.9845,0.5983
54,1.5156,0.7699,2.0066,0.5936
55,1.5621,0.7518,1.9974,0.5963
56,1.5621,0.7547,2.0053,0.5993
57,1.5491,0.7557,1.9683,0.6039
58,1.5542,0.7573,1.9668,0.6015
59,1.5271,0.7594,1.9756,0.6007
60,1.5112,0.7724,1.9527,0.6048
61,1.5024,0.7734,1.9802,0.6019
62,1.5414,0.7571,1.9727,0.6051
63,1.4558,0.7868,1.9579,0.6070
64,1.4733,0.7784,1.9771,0.6021
65,1.4285,0.7931,1.9707,0.6047
66,1.4486,0.7870,1.9551,0.6077
67,1.5278,0.7647,1.9408,0.6099
68,1.4410,0.7859,1.9526,0.6097
69,1.4428,0.7855,1.9404,0.6109
70,1.4108,0.7951,1.9440,0.6103
71,1.4601,0.7840,1.9316,0.6123
72,1.4786,0.7728,1.9453,0.6114
73,1.4778,0.7833,1.9406,0.6111
74,1.4598,0.7835,1.9361,0.6120
75,1.4277,0.7975,1.9367,0.6114
76,1.4372,0.7775,1.9333,0.6133
77,1.4478,0.7857,1.9301,0.6120
78,1.3861,0.7941,1.9319,0.6126
79,1.4225,0.7890,1.9314,0.6128
80,1.4904,0.7681,1.9309,0.6126
