epoch,train_loss,train_acc,val_loss,val_acc
1,4.4064,0.0418,4.0352,0.0969
2,4.1592,0.0815,3.7319,0.1470
3,4.0479,0.1024,3.5656,0.1824
4,3.9114,0.1281,3.4249,0.2046
5,3.8098,0.1483,3.2996,0.2337
6,3.7462,0.1634,3.1438,0.2657
7,3.6295,0.1858,3.0057,0.2984
8,3.5597,0.2036,2.8794,0.3282
9,3.4677,0.2269,2.7665,0.3541
10,3.4258,0.2370,2.7437,0.3651
11,3.3452,0.2502,2.5936,0.4066
12,3.3222,0.2571,2.6122,0.3991
13,3.2141,0.2876,2.4197,0.4438
14,3.2189,0.2874,2.3517,0.4657
15,3.1670,0.2981,2.3213,0.4716
16,3.0856,0.3201,2.2126,0.5024
17,3.0584,0.3255,2.2237,0.4962
18,3.0142,0.3371,2.1685,0.5131
19,3.0119,0.3439,2.1303,0.5232
20,2.9735,0.3457,2.0798,0.5489
21,2.9389,0.3530,2.0566,0.5473
22,2.9052,0.3674,2.0284,0.5562
23,2.8515,0.3802,1.9585,0.5716
24,2.8524,0.3846,1.9285,0.5847
25,2.7781,0.3967,1.9062,0.5840
26,2.8292,0.3905,1.9458,0.5697
27,2.7332,0.4074,1.9324,0.5812
28,2.6885,0.4144,1.8308,0.6011
29,2.7167,0.4187,1.8210,0.6035
30,2.7037,0.4180,1.8239,0.6091
31,2.6556,0.4299,1.7735,0.6173
32,2.6314,0.4387,1.7403,0.6267
33,2.6444,0.4300,1.7563,0.6183
34,2.6134,0.4422,1.6917,0.6363
35,2.6189,0.4426,1.7161,0.6342
36,2.6481,0.4370,1.6970,0.6392
37,2.6075,0.4436,1.6721,0.6466
38,2.5575,0.4502,1.7129,0.6444
39,2.5432,0.4585,1.6266,0.6571
40,2.5465,0.4588,1.6422,0.6557
41,2.5307,0.4628,1.6309,0.6580
42,2.4973,0.4730,1.6279,0.6602
43,2.4752,0.4783,1.6011,0.6682
44,2.4606,0.4797,1.6126,0.6650
45,2.4613,0.4836,1.5703,0.6682
46,2.4807,0.4809,1.5684,0.6767
47,2.4247,0.4945,1.5444,0.6801
48,2.4228,0.4920,1.5601,0.6773
49,2.3720,0.4979,1.5419,0.6790
50,2.4277,0.4886,1.5275,0.6823
51,2.4519,0.4863,1.5191,0.6875
52,2.4004,0.5038,1.5077,0.6895
53,2.3919,0.5030,1.5022,0.6922
54,2.3761,0.5027,1.5012,0.6905
55,2.3714,0.5050,1.4971,0.6926
56,2.3314,0.5198,1.4897,0.6970
57,2.2745,0.5260,1.4757,0.6959
58,2.3374,0.5135,1.4847,0.6971
59,2.3241,0.5136,1.4650,0.7011
60,2.2767,0.5297,1.4677,0.7012
61,2.3119,0.5235,1.4537,0.7036
62,2.2956,0.5192,1.4574,0.7014
63,2.2841,0.5244,1.4488,0.7047
64,2.3104,0.5246,1.4477,0.7049
65,2.3050,0.5191,1.4636,0.7040
66,2.3535,0.5105,1.4512,0.7032
67,2.2980,0.5230,1.4341,0.7082
68,2.2974,0.5337,1.4471,0.7058
69,2.2644,0.5349,1.4381,0.7072
70,2.3268,0.5250,1.4402,0.7068
71,2.2111,0.5385,1.4385,0.7069
72,2.3100,0.5190,1.4349,0.7083
73,2.3544,0.5159,1.4482,0.7071
74,2.2553,0.5290,1.4346,0.7090
75,2.2854,0.5242,1.4444,0.7073
76,2.2911,0.5290,1.4322,0.7091
77,2.2370,0.5405,1.4366,0.7074
78,2.3092,0.5245,1.4350,0.7094
79,2.2346,0.5390,1.4284,0.7096
80,2.2498,0.5452,1.4306,0.7089
